gpt,0.023840041,0.025699555,0.027118132,0.02780154,0.032642293,0.035719779,0.043253509,0.047062342,0.058291816,0.066539583,0.038796859
cnn,0.032252833,0.033066298,0.03309104,0.03293769,0.040156076,0.042967997,0.053175123,0.05770679,0.071748626,0.083926958,0.048102943
lstm,0.080515388,0.078656566,0.069371623,0.052668303,0.076804946,0.072408579,0.096899746,0.10849998,0.133461887,0.130185479,0.08994725
rnn,0.107603517,0.097767953,0.081287146,0.060236719,0.088376714,0.07875017,0.106362058,0.114503239,0.140132619,0.148705946,0.102372608
gru,0.090025569,0.090388504,0.079087739,0.058435149,0.086980216,0.077924056,0.105744547,0.113190225,0.138480955,0.133380473,0.097363743
,,,,,,,,,,,
gpt,0.030329704,0.005044268,0.005029017,0.005031101,0.004995254,0.00498947,0.005033831,0.005051621,0.005012581,0.005018057,0.007553491
cnn,0.001277508,0.001012056,0.000999251,0.001003035,0.001005465,0.001015525,0.001012002,0.001019747,0.001011349,0.001014779,0.001037072
lstm,0.007493596,0.005469414,0.00544185,0.005455448,0.005347252,0.005521536,0.005342953,0.005600245,0.005578187,0.005615865,0.005686635
rnn,0.00408944,0.004073689,0.004083656,0.004079111,0.004102738,0.004080288,0.004079257,0.004076358,0.004102692,0.004071936,0.004083916
gru,0.004617822,0.004700507,0.004689447,0.004948578,0.004699745,0.004636272,0.004677549,0.004693954,0.004734109,0.004632042,0.004703003
